id;date_ofwork;check_in_time;check_out_time;work_hour
1;2025-04-18;2025-04-17T09:31:02;2025-04-17T21:11:53;29346.06
2;2025-04-17;2025-04-18T02:26:25;2025-04-17T06:16:25;542.75
3;2025-04-17;2025-04-18T01:18:40;2025-04-17T21:34:14;8155.92
4;2025-04-17;2025-04-17T16:43:20;2025-04-17T10:11:22;17786.47
5;2025-04-17;2025-04-17T11:10:34;2025-04-18T00:50:18;19370.74
6;2025-04-17;2025-04-17T11:30:58;2025-04-17T22:39:32;23140.65
7;2025-04-18;2025-04-17T16:12:46;2025-04-17T11:13:33;5310.15
8;2025-04-17;2025-04-17T07:46:11;2025-04-18T02:36:12;17780.96
9;2025-04-17;2025-04-17T09:05:53;2025-04-17T08:51:23;7942.69
10;2025-04-17;2025-04-17T12:12:12;2025-04-18T01:19:19;19880.52
