id;start_date;end_date;status;contract_code
1;2025-04-18;2025-04-17;utilization longingly lifestyle;dearest present biod
2;2025-04-17;2025-04-17;showy;including unto geez
3;2025-04-17;2025-04-18;how;since
4;2025-04-17;2025-04-17;mom lightly;whoa gee adjourn
5;2025-04-17;2025-04-17;acidly archaeology though;behest weakly imagin
6;2025-04-17;2025-04-18;excepting athletic till;amongst bah
7;2025-04-17;2025-04-17;hmph molasses loftily;far grouper conseque
8;2025-04-17;2025-04-17;tuber;although executor
9;2025-04-18;2025-04-17;until delete instead;phooey
10;2025-04-17;2025-04-17;democratize trash countess;before urgently
