id;submission_date;effective_date;reason;status;notes
1;2025-04-18;2025-04-17;but;ACTIVE;triumphantly legitimize kosher
2;2025-04-17;2025-04-17;fairly;ACTIVE;incidentally regarding
3;2025-04-17;2025-04-17;ah readily;PENDING;normal unless upbeat
4;2025-04-17;2025-04-17;notwithstanding;DESTROY;towards deduct above
5;2025-04-17;2025-04-17;excluding seriously;DESTROY;monasticism even
6;2025-04-17;2025-04-17;following;DESTROY;uh-huh politely consequently
7;2025-04-17;2025-04-17;about atop gestate;PENDING;within obsess
8;2025-04-17;2025-04-18;gently;ACTIVE;yahoo nectarine possession
9;2025-04-18;2025-04-17;fragrant among corny;PENDING;reel
10;2025-04-17;2025-04-17;revitalise swiftly;ACTIVE;savour stylish amendment
