id;jhi_type;amount;reason;apply_date;notes
1;punctually question;13306.07;amid;2025-04-17;meh
2;yuck affectionate va;19019.8;aboard gently;2025-04-17;sideboard bare
3;underneath;1923.5;spattering entice an;2025-04-17;grass which where
4;luck;449.98;afore um;2025-04-17;truly
5;er pinion carp;26798.52;consequently;2025-04-18;rag however planula
6;inhibit;1962.49;interesting heartache;2025-04-17;close
7;but demonstrate scar;12860.94;toady because glossy;2025-04-17;fooey
8;pecan absent flash;588.91;tuba how vice;2025-04-17;productive aboard
9;preheat platter;8093.8;jubilantly;2025-04-17;save times
10;unlined ha above;23268.66;meanwhile meh uselessly;2025-04-17;except via
